Date,Description,Amount,Schedule C Category
07-06-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-15.23,Meals
07-06-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-350,Owners Draw
07-06-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-100,Owners Draw
07-06-21,Debit Card CN CASINO GRANT- GRANT O #0759,-9,Owners Draw
07-06-21,Debit Card JUAN PABLOS MEX SULPHUR SPRI NT #4349,-63.87,Meals
07-06-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-100,Owners Draw
07-06-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
07-06-21,Debit Card INSTACART SAN FRANCISC OC #4349,-17.54,Owners Draw
07-06-21,Debit Card INSTACART SAN FRANCISC OC #4349,-392.09,Owners Draw
07-06-21,Debit Card CVS/PHARMACY #07 SULPHUR SPRI NT #0759,-104.84,Business Supplies
07-06-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-55.17,Financial Fees:Payment Processing
07-06-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-14.06,Financial Fees:Payment Processing
07-06-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-14.06,Financial Fees:Payment Processing
07-06-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-24.96,Meals
07-06-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-55.16,Financial Fees:Payment Processing
07-06-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-32.46,Financial Fees:Payment Processing
07-06-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
07-06-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-16.23,Financial Fees:Payment Processing
07-06-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-60,Owners Draw
07-06-21,Automatic Loan Pmt LN PyXXXXXX0645 1,-262.22,Loan Payments
07-06-21,ACH BB&T LOAN PHONEPYMNT,-531.21,Loan Payments
07-06-21,Cash Roundup Transfer,-20.37,Miscellaneous Expenses
07-06-21,Check 3417,-390,Paid Checks
07-06-21,Check 3419,-700,Paid Checks
07-07-21,ACH AUTO RENTALS INC ACH PAYMNT IV42805 3889062 000000000014392000000000014392000000000000000,4241.31,Other Business Income
07-07-21,ACH Square Inc 210707 P2,262.87,Business Income
07-07-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-14.06,Financial Fees:Payment Processing
07-07-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-15.97,Business Supplies
07-07-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-3,Vehicle Expenses:Fuel
07-07-21,Debit Card HALL VOLVO GMC I TYLER T #0759,-194.86,COGS:Materials & Supplies
07-07-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-42.99,COGS:Materials & Supplies
07-07-21,Debit Card DAIRY QUEEN - 44 SULPHUR SPRI NT #0759,-19.99,Meals
07-07-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-7.1,COGS:Materials & Supplies
07-07-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-20.05,COGS:Materials & Supplies
07-07-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-36.8,COGS:Materials & Supplies
07-07-21,Debit Card DAIRY QUEEN - 44 SULPHUR SPRI NT #0759,-10.37,Meals
07-07-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
07-07-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-400,Owners Draw
07-07-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-16.23,Financial Fees:Payment Processing
07-07-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
07-07-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-28.12,Financial Fees:Payment Processing
07-07-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
07-07-21,ACH AM INCOME LIFE INS.PREM 800-433-3405,-76.53,Owners Draw
07-07-21,ACH AM INCOME LIFE INS.PREM 800-433-3405,-22.98,Owners Draw
07-07-21,Cash Roundup Transfer,-6,Miscellaneous Expenses
07-07-21,Check 3418,-1000,Paid Checks
07-08-21,ACH AUTO RENTALS INC ACH PAYMNT IV142106 3892672 000000000006900000000000006900000000000000000,69,Other Business Income
07-08-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.39,Business Supplies
07-08-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-22,Business Supplies
07-08-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-10.34,Business Supplies
07-08-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-8.55,Business Supplies
07-08-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-27.56,COGS:Materials & Supplies
07-08-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-56.75,COGS:Materials & Supplies
07-08-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-42.8,COGS:Materials & Supplies
07-08-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-75.73,COGS:Materials & Supplies
07-08-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-3.26,COGS:Materials & Supplies
07-08-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #0759,-30.69,Meals
07-08-21,Cash Roundup Transfer,-3.93,Miscellaneous Expenses
07-09-21,Deposit,787.5,Business Income
07-09-21,Deposit,700,Business Income
07-09-21,ACH AUTO RENTALS INC ACH PAYMNT IV726940 3896296 000000000037346000000000037346000000000000000,373.46,Other Business Income
07-09-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-704.25,Owners Draw
07-09-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
07-09-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.39,Business Supplies
07-09-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-28.12,Financial Fees:Payment Processing
07-09-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-49.01,Vehicle Expenses:Fuel
07-09-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-16.54,Vehicle Expenses:Fuel
07-09-21,Debit Card EVI*CHOCTAW CASI GRANT O #4349,-1037.5,Owners Draw
07-09-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-145.94,COGS:Materials & Supplies
07-09-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-28.79,COGS:Materials & Supplies
07-09-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-7.98,Meals
07-09-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-100,Owners Draw
07-09-21,Debit Card AMAZON.COM*293G8 SEATTLE W #4349,-249.36,Business Supplies
07-09-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
07-09-21,Debit Card AMAZON.COM*296RN SEATTLE W #4349,-16.23,Business Supplies
07-09-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-44.35,Financial Fees:Payment Processing
07-09-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-23.76,Financial Fees:Payment Processing
07-09-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-60,Owners Draw
07-09-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-38.93,Financial Fees:Payment Processing
07-09-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-17.3,Financial Fees:Payment Processing
07-09-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-7.57,Financial Fees:Payment Processing
07-09-21,Debit Card PAYPAL *MISBEHAY San Jose C #4349,-116,Financial Fees:Payment Processing
07-09-21,Cash Roundup Transfer,-7.41,Miscellaneous Expenses
07-09-21,Check 3420,-250,Paid Checks
07-12-21,Deposit,7492.4,Business Income
07-12-21,Deposit,3000,Business Income
07-12-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
07-12-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
07-12-21,Debit Card DOLLAR-GE DG 017 SULPHUR SPRI NT #0759,-67.92,Business Supplies
07-12-21,Debit Card STAR MART # 5 SULPHUR SPRI NT #4349,-7.74,Vehicle Expenses:Fuel
07-12-21,Debit Card E-Z MART 4282 SULPHUR SPRI NT #4349,-22.02,Vehicle Expenses:Fuel
07-12-21,Debit Card EVI*CHOCTAW CASI GRANT O #4349,-1037.5,Owners Draw
07-12-21,Debit Card JOE BOBS SULPHUR SPRI NT #4349,-45.54,Vehicle Expenses:Fuel
07-12-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-25.95,Financial Fees:Payment Processing
07-12-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.39,Business Supplies
07-12-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-7.69,Business Supplies
07-12-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-18.54,Business Supplies
07-12-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-56.24,Financial Fees:Payment Processing
07-12-21,Debit Card Sulphur S Sulphu Sulphur Spri nT #4349,-76.85,Business Supplies
07-12-21,Debit Card SUPER HANDY SULPHUR SPRI NT #0759,-14.75,Business Supplies
07-12-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-25.68,Business Supplies
07-12-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-22.94,Business Supplies
07-12-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-5.4,Financial Fees:Payment Processing
07-12-21,Debit Card MAC TOOLS - GILM GILMER T #4349,-150,COGS:Materials & Supplies
07-12-21,Debit Card CHICKEN EXPRESS- SULPHUR SPRI NT #0759,-34.99,Meals
07-12-21,Debit Card TACO BELL 009540 SULPHUR SPRI NT #0759,-44.57,Meals
07-12-21,Debit Card TIERRA DEL SOL SULPHUR SPRI NT #4349,-100,Meals
07-12-21,Debit Card SONIC DRIVE IN # SULPHUR SPRI NT #0759,-24.85,Meals
07-12-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-38.92,Financial Fees:Payment Processing
07-12-21,Debit Card 159 BRAUMS STORE SULPHUR SPRI NT #0759,-2.15,Owners Draw
07-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-15.33,Meals
07-12-21,Debit Card DOORDASH*MCDONAL SAN FRANCISC OC #4349,-28.99,Meals
07-12-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-25.82,COGS:Materials & Supplies
07-12-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-79.79,COGS:Materials & Supplies
07-12-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-100,Owners Draw
07-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-7.76,Meals
07-12-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-101.94,COGS:Materials & Supplies
07-12-21,Debit Card INSTACART SAN FRANCISC OC #4349,-321.45,Owners Draw
07-12-21,Debit Card SQ *NORTHCUTT DO Sulphur Spri nT #0759,-13.78,Owners Draw
07-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-6.91,Meals
07-12-21,Debit Card DAIRY QUEEN - 44 SULPHUR SPRI NT #0759,-36.64,Meals
07-12-21,Debit Card PAYPAL *SUGARBOO San Jose C #4349,-77,Financial Fees:Payment Processing
07-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
07-12-21,Debit Card AMAZON.COM*2E192 SEATTLE W #4349,-97.57,Business Supplies
07-12-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-60,Owners Draw
07-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
07-12-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-100,Owners Draw
07-12-21,Debit Card PAYPAL *TX San Jose C #4349,-37.9,Financial Fees:Payment Processing
07-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
07-12-21,Debit RCR NETFLIX COM LOS GATOS C #4349,-19.2,Owners Draw
07-12-21,Debit RCR CARROLL TIRE 877-822-0009 F #4349,-215.88,COGS:Materials & Supplies
07-12-21,Debit RCR Amazon Prime*292 Amzn.com/bil lW #4349,-14.06,Owners Draw
07-12-21,ACH CAPITAL ONE MOBILE PMT,-150,Owners Draw
07-12-21,ACH CAPITAL ONE MOBILE PMT,-150,Owners Draw
07-12-21,ACH Square Inc 210712 P2,-221.85,Financial Fees:Payment Processing
07-12-21,ACH TCLINSURANCE WEBPAYMENT 936-560-9393,-1556.18,Business Insurance
07-12-21,Cash Roundup Transfer,-12.89,Miscellaneous Expenses
07-13-21,Deposit,1607.5,Business Income
07-13-21,Transfer Deposit Loan proceeds,8525.01,Business Income
07-13-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-4.99,Business Supplies
07-13-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-18,Business Supplies
07-13-21,Debit Card COMMERCE CHEVROL COMMERCE T #4349,-125,Vehicle Expenses:Repairs
07-13-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-8.9,Business Supplies
07-13-21,Debit Card Sulphur S Sulphu Sulphur Spri nT #4349,-29.31,Business Supplies
07-13-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-42.5,COGS:Materials & Supplies
07-13-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-327.16,COGS:Materials & Supplies
07-13-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-350,Owners Draw
07-13-21,Debit Card AMAZON.COM*2901U SEATTLE W #4349,-324.74,Business Supplies
07-13-21,Debit Card DOORDASH*CHILIS SAN FRANCISC OC #4349,-74.74,Meals
07-13-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
07-13-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-120,Owners Draw
07-13-21,Cash Roundup Transfer,-2.84,Miscellaneous Expenses
07-13-21,Check 3421,-296.94,Paid Checks
07-13-21,Check 3422,-250,Paid Checks
07-13-21,Check 3423,-700,Paid Checks
07-14-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.39,Business Supplies
07-14-21,Debit Card JOE BOB'S #5 COMO T #4349,-12.15,Owners Draw
07-14-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-42.42,Business Supplies
07-14-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-9.4,Business Supplies
07-14-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-99.26,COGS:Materials & Supplies
07-14-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-13.16,COGS:Materials & Supplies
07-14-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-10.3,COGS:Materials & Supplies
07-14-21,Debit Card HOPKINS MINOR EM SULPHUR SPRI NT #0759,-125,COGS:Materials & Supplies
07-14-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-9.99,COGS:Materials & Supplies
07-14-21,Debit Card BURGERS & FRIES SULPHUR SPRI NT #4349,-32.29,Meals
07-14-21,Debit Card SONIC DRIVE IN # COMMERCE T #4349,-14.02,Meals
07-14-21,IB INTERNET TRANSFER TO ACCOUNT *0851,-350,Account Transfers
07-14-21,IB INTERNET TRANSFER TO ACCOUNT *9922,-450,Account Transfers
07-14-21,Cash Roundup Transfer,-6.62,Miscellaneous Expenses
07-14-21,Check 3424,-1000,Paid Checks
07-14-21,Check 3399,-5323.36,Paid Checks
07-15-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-15.14,Business Supplies
07-15-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-46.5,Financial Fees:Payment Processing
07-15-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-14.06,Financial Fees:Payment Processing
07-15-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-17.89,Business Supplies
07-15-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #4349,-26.59,Meals
07-15-21,Debit Card LIBERTY POWER HO 866-7693799 F #4349,-211.29,Utilities:Electricity
07-15-21,Debit Card THE SUPPLY KIT SULPHUR SPRI NT #4349,-117.37,Business Supplies
07-15-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #4349,-32.36,Meals
07-15-21,Debit Card WALGREENS #11910 SULPHUR SPRI NT #4349,-35.39,Business Supplies
07-15-21,Debit Card DOORDASH*TACO BE SAN FRANCISC OC #4349,-18.07,Meals
07-15-21,ACH ENGIE RESOURCES 9033486408,-254.81,Utilities:Gas
07-15-21,Cash Roundup Transfer,-6.34,Miscellaneous Expenses
07-16-21,Deposit,1071.67,Business Income
07-16-21,Deposit,604.34,Business Income
07-16-21,ACH Square Inc 210716 P2,166.85,Business Income
07-16-21,Debit Card Rev NAPA SULPHUR SPR SULPHUR SPRI NT #4349,1.88,COGS:Materials & Supplies
07-16-21,Debit Card O'REILLY AUTO PA SULPHUR SPRI NT #4349,-354.53,COGS:Materials & Supplies
07-16-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-32.56,Business Supplies
07-16-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.39,Business Supplies
07-16-21,Debit Card RACETRAC155 MCKINNEY T #4349,-16.22,Vehicle Expenses:Fuel
07-16-21,Debit Card PIZZA HUT 027529 SULPHUR SPRI NT #4349,-25,Meals
07-16-21,Debit Card ADVANCED EYE CAR SULPHUR SPRI NT #4349,-172,Owners Draw
07-16-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-9.5,COGS:Materials & Supplies
07-16-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-95.92,COGS:Materials & Supplies
07-16-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-1.88,COGS:Materials & Supplies
07-16-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-10.38,Meals
07-16-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
07-16-21,Debit Card CVS/PHARMACY #07 Sulphur Spri nT #0759,-18.46,Business Supplies
07-16-21,Debit RCR AT&T CONNECTECH 8003310500 T #4349,-384.48,Utilities:Phone
07-16-21,Wire Payment Allen D Russell PLLC Wires,-1000,Legal & Professional Services
07-16-21,ACH ATMOS ENERGY SGL UTIL PYMT,-33.22,Utilities:Gas
07-16-21,ACH LOANCARE SERV MTG PYMT,-524.73,Owners Draw
07-16-21,Wire Fee Allen D Russell PLLC Wires,-25,Legal & Professional Services
07-16-21,Cash Roundup Transfer,-4.86,Miscellaneous Expenses
07-16-21,Check 3397,-125,Paid Checks
07-19-21,Deposit,4800,Business Income
07-19-21,ACH AUTO RENTALS INC ACH PAYMNT IV111947 3919009 000000000026640000000000026640000000000000000,1314.47,Other Business Income
07-19-21,ACH Square Inc 210719 P2,189.66,Business Income
07-19-21,ATM Withdrawal 919 GILMER ST SULPHUR SPRI NT #0759,-60,Owners Draw
07-19-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-25.66,Business Supplies
07-19-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-43.68,Business Supplies
07-19-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-15.54,Business Supplies
07-19-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.59,Business Supplies
07-19-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-10.81,Financial Fees:Payment Processing
07-19-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-2.99,Financial Fees:Payment Processing
07-19-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-21.57,Business Supplies
07-19-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-16.39,Business Supplies
07-19-21,Debit Card CVS/PHARMACY #07 Sulphur Spri nT #4349,-75.01,Business Supplies
07-19-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.39,Business Supplies
07-19-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-100,Owners Draw
07-19-21,Debit Card TACO BELL 009540 SULPHUR SPRI NT #4349,-7.55,Meals
07-19-21,Debit Card MORENO'S TIRE SH SULPHUR SPRI NT #4349,-92,COGS:Materials & Supplies
07-19-21,Debit Card MAC TOOLS - GILM GILMER T #4349,-150,COGS:Materials & Supplies
07-19-21,Debit Card TOKYO EXPRESS COMMERCE T #0759,-60,Meals
07-19-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-350,Owners Draw
07-19-21,Debit Card STATE FARM INSU 8009566310 I #4349,-344.76,Business Insurance
07-19-21,Debit Card ALLERGY ENT CLIN MCKINNEY T #0759,-65,Owners Draw
07-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-81.44,COGS:Materials & Supplies
07-19-21,Debit Card Prime Video*2E1W 888-802-3080 W #4349,-9.73,Owners Draw
07-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-97.88,COGS:Materials & Supplies
07-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-9.99,COGS:Materials & Supplies
07-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-141.03,COGS:Materials & Supplies
07-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-26.5,COGS:Materials & Supplies
07-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-27.5,COGS:Materials & Supplies
07-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-8.07,COGS:Materials & Supplies
07-19-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #0759,-12.18,Meals
07-19-21,Debit Card INSTACART SAN FRANCISC OC #4349,-163.08,Owners Draw
07-19-21,Debit Card INSTACART SAN FRANCISC OC #4349,-113.74,Owners Draw
07-19-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-100,Owners Draw
07-19-21,Debit Card Prime Video*2E7I 888-802-3080 W #4349,-8.65,Owners Draw
07-19-21,Debit Card COCA COLA TYLER TYLER T #4349,-1.85,Business Supplies
07-19-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #0759,-33.58,Meals
07-19-21,Debit Card 159 BRAUMS STORE SULPHUR SPRI NT #0759,-37.23,Owners Draw
07-19-21,Debit Card COCA COLA TYLER TYLER T #4349,-1.75,Business Supplies
07-19-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-20.19,Meals
07-19-21,Debit RCR NBC Peacock New Y oN #4349,-5.41,Owners Draw
07-19-21,Debit RCR HLU*HULU 1339504 HULU.COM/BIL LC #4349,-80.08,Owners Draw
07-19-21,Debit RCR Peacock D2D5C Pr New York N #4349,-5.4,Owners Draw
07-19-21,Debit RCR APPLE.COM/BILL 866-712-7753 C #4349,-10.81,Owners Draw
07-19-21,Cash Roundup Transfer,-15.97,Miscellaneous Expenses
07-20-21,ACH Square Inc 210720 P2,270.81,Business Income
07-20-21,Debit Card STAR MART # 5 SULPHUR SPRI NT #4349,-15.72,Vehicle Expenses:Fuel
07-20-21,Debit Card O'REILLY AUTO P SULPHUR SPRI NT #4349,-56.84,COGS:Materials & Supplies
07-20-21,Debit Card BURGER KING #406 SULPHUR SPRI NT #0759,-10.49,Meals
07-20-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-26.49,COGS:Materials & Supplies
07-20-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-36.86,COGS:Materials & Supplies
07-20-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-92.59,COGS:Materials & Supplies
07-20-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-29.57,COGS:Materials & Supplies
07-20-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-9.06,Meals
07-20-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-8.74,Meals
07-20-21,Cash Roundup Transfer,-3.64,Miscellaneous Expenses
07-20-21,Check 3588,-865.81,Paid Checks
07-20-21,Check 3589,-800,Paid Checks
07-20-21,Check 3590,-250,Paid Checks
07-20-21,Check 3593,-800,Paid Checks
07-21-21,ACH AUTO RENTALS INC ACH PAYMNT IV132145 3926564 000000000015187000000000015187000000000000000,940.97,Other Business Income
07-21-21,ACH Square Inc 210721 P2,922.6,Business Income
07-21-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-36.6,Business Supplies
07-21-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-12.59,Business Supplies
07-21-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-18.33,Business Supplies
07-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-44.04,COGS:Materials & Supplies
07-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-93.68,COGS:Materials & Supplies
07-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-304.97,COGS:Materials & Supplies
07-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-12.88,COGS:Materials & Supplies
07-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-13.25,COGS:Materials & Supplies
07-21-21,Debit Card 159 BRAUMS STORE SULPHUR SPRI NT #0759,-7.11,Owners Draw
07-21-21,Debit RCR CARROLL TIRE 877-822-0009 F #4349,-436.4,COGS:Materials & Supplies
07-21-21,ACH WEBFILE TAX PYMT DD,-372.85,Taxes and Licenses
07-21-21,Cash Roundup Transfer,-5.15,Miscellaneous Expenses
07-21-21,Check 3591,-1000,Paid Checks
07-21-21,Check 3592,-700,Paid Checks
07-22-21,Deposit,4150.65,Business Income
07-22-21,ACH AUTO RENTALS INC ACH PAYMNT IV491275 3930439 000000000093116000000000093116000000000000000,931.16,Other Business Income
07-22-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-23.7,Business Supplies
07-22-21,Debit Card QT 983 INSIDE 14 GREENVILLE T #4349,-25.39,Vehicle Expenses:Fuel
07-22-21,Debit Card JUAN PABLOS MEX SULPHUR SPRI NT #4349,-110.58,Meals
07-22-21,Debit Card PAYPAL *ADAVIDSO 4029357733 C #4349,-30,Financial Fees:Payment Processing
07-22-21,Debit Card INSTACART SAN FRANCISC OC #4349,-150.15,Owners Draw
07-22-21,Debit Card PAYPAL *EBAY US 4029357733 C #4349,-23.8,Financial Fees:Payment Processing
07-22-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-59.88,COGS:Materials & Supplies
07-22-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-9.58,COGS:Materials & Supplies
07-22-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-13.04,COGS:Materials & Supplies
07-22-21,Debit Card SONIC DRIVE IN # SULPHUR SPRI NT #0759,-12.32,Meals
07-22-21,Debit Card AMAZON.COM*2E05H SEATTLE W #4349,-12.98,Business Supplies
07-22-21,Debit Card Subway 12013 Sulphur Spri nT #0759,-10.27,Meals
07-22-21,ACH AMEX EPAYMENT ACH PMT ER AM,-125,Business Insurance
07-22-21,ACH Synchrony Bank CC PYMT,-150,Owners Draw
07-22-21,Cash Roundup Transfer,-5.31,Miscellaneous Expenses
